food_name,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,vitamin_c,category,source,protein_ratio,carb_ratio,fat_ratio,protein_fat_ratio,calorie_class,category_encoded
garlic chickpea soup (lahasun aur chane ka shoraba),89.53,4.45,13.92,2.01,2.84,2.65,79.73,13.93,0.96,13.24,Veg,processed,0.2184,0.683,0.0986,2.109,0.0,3
maa chaane ki dal,344.67,19.8,43.11,9.5,13.45,1.05,43.31,68.65,5.97,1.43,Dessert,processed,0.2734,0.5954,0.1312,2.0625,2.0,0
classic seasoned black beans,28.78,8.01,7.66,8.28,3.51,0.44,7989.07,40.11,1.9,8.54,Snacks,processed,0.3344,0.3198,0.3457,0.9558,0.0,2
soya seekh kebab,115.05,5.4,10.0,5.88,2.24,0.51,92.25,15.67,1.26,8.56,Veg,processed,0.2538,0.4699,0.2763,0.903,1.0,3
bread roll,435.46,2.85,16.12,40.25,1.45,0.94,139.34,44.83,0.71,6.79,Non-Veg,processed,0.0481,0.2722,0.6797,0.0706,3.0,1
jowar dosa,294.35,8.5,40.53,10.28,5.56,0.59,97.25,19.46,2.03,0.0,Dessert,processed,0.1433,0.6834,0.1733,0.8189,2.0,0
papdi,708.96,1.83,12.89,72.11,0.56,0.31,28.91,6.06,0.44,0.04,Non-Veg,processed,0.0211,0.1485,0.8305,0.0253,3.0,1
sev (omapodi/karapusa),609.14,5.12,12.87,60.08,2.35,0.53,53.19,13.95,0.72,0.0,Non-Veg,processed,0.0656,0.1649,0.7696,0.0851,3.0,1
gujarati handvo,207.09,8.24,31.86,4.8,4.95,2.51,308.55,68.21,2.03,31.39,Non-Veg,processed,0.1835,0.7096,0.1069,1.6816,2.0,1
dal dhokli,68.74,2.96,8.55,2.47,1.86,1.12,37.53,14.54,0.79,2.77,Veg,processed,0.2117,0.6116,0.1767,1.1518,0.0,3
panchmel dal,111.22,4.63,10.71,5.36,3.2,0.75,79.46,23.05,1.42,8.49,Veg,processed,0.2237,0.5174,0.2589,0.848,1.0,3
horsegram dal (kulthi dal),55.65,2.91,8.21,1.13,1.52,0.72,63.63,38.22,1.3,13.98,Veg,processed,0.2376,0.6702,0.0922,2.3659,0.0,3
split bengal gram dal (channa dal),99.67,4.15,9.99,4.62,3.72,0.98,46.4,21.99,1.92,13.38,Veg,processed,0.2212,0.5325,0.2463,0.8792,0.0,3
dalma,118.93,4.91,15.04,4.58,2.16,3.1,49.35,54.28,2.1,36.63,Veg,processed,0.2002,0.6131,0.1867,1.0491,1.0,3
dal makhani,74.04,3.32,7.96,3.06,2.27,0.8,41.85,20.62,1.23,9.19,Veg,processed,0.2315,0.5551,0.2134,1.0506,0.0,3
khandvi,120.0,10.0,18.0,6.0,2.0,3.0,380.0,25.0,5.0,1.0,Snacks,sheet1,0.2941,0.5294,0.1765,1.6393,1.0,2
dhokla,140.0,8.0,24.0,4.0,2.0,6.0,320.0,15.0,4.0,2.0,Snacks,sheet1,0.2222,0.6667,0.1111,1.9512,1.0,2
poha,160.0,4.0,30.0,6.0,3.0,4.0,280.0,20.0,6.0,8.0,Veg,sheet1,0.1,0.75,0.15,0.6557,1.0,3
upma,180.0,6.0,28.0,8.0,4.0,2.0,350.0,25.0,8.0,5.0,Veg,sheet1,0.1429,0.6667,0.1905,0.7407,1.0,3
bhatura,380.0,10.0,42.0,22.0,4.0,3.0,700.0,25.0,8.0,1.0,Veg,sheet1,0.1351,0.5676,0.2973,0.4525,3.0,3
puri,340.0,8.0,38.0,20.0,3.0,2.0,450.0,20.0,6.0,0.0,Veg,sheet1,0.1212,0.5758,0.303,0.398,2.0,3
paratha,320.0,8.0,42.0,18.0,5.0,3.0,600.0,35.0,4.0,2.0,Veg,sheet1,0.1176,0.6176,0.2647,0.442,2.0,3
naan,310.0,10.0,55.0,6.0,3.0,4.0,420.0,30.0,3.0,1.0,Veg,sheet1,0.1408,0.7746,0.0845,1.6393,2.0,3
roti,270.0,9.0,50.0,4.0,8.0,2.0,380.0,25.0,2.0,0.0,Veg,sheet1,0.1429,0.7937,0.0635,2.1951,2.0,3
jalebi,320.0,4.0,60.0,12.0,1.0,45.0,200.0,45.0,15.0,3.0,Dessert,sheet1,0.0526,0.7895,0.1579,0.3306,2.0,0
rasgulla,180.0,4.0,40.0,2.0,0.0,35.0,80.0,80.0,2.0,8.0,Dessert,sheet1,0.087,0.8696,0.0435,1.9048,1.0,0
