food_name,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,vitamin_c,category,source,protein_ratio,carb_ratio,fat_ratio,protein_fat_ratio,calorie_class,category_encoded
dahi vada,133.33,4.0,16.67,6.67,1.44,3.0,116.38,40.11,0.9,6.0,Snacks,nutrition_dataset,0.1463,0.6097,0.244,0.5908,1.0,2
chicken and tomato towers,100.55,6.9,2.36,6.99,1.14,1.21,76.02,17.54,0.77,56.69,Veg,processed,0.4246,0.1452,0.4302,0.9732,1.0,3
paneer and pea samosa (paneer matar ka samosa),623.81,4.02,8.55,63.65,1.02,1.69,78.18,64.56,0.53,6.67,Non-Veg,processed,0.0527,0.1122,0.8351,0.0631,3.0,1
maa chaane ki dal,344.67,19.8,43.11,9.5,13.45,1.05,43.31,68.65,5.97,1.43,Dessert,processed,0.2734,0.5954,0.1312,2.0625,2.0,0
vegetable khichdi/khichri,143.17,5.61,19.57,4.53,2.45,3.71,193.55,100.54,1.09,6.0,Veg,processed,0.1888,0.6587,0.1525,1.2117,1.0,3
stuffed bottle gourd (stuffed ghiya/lauki),93.19,5.84,4.36,5.8,1.18,1.52,106.99,71.83,0.66,9.01,Veg,processed,0.365,0.2725,0.3625,0.9898,0.0,3
pineapple pastry,208.21,6.06,29.04,7.87,0.72,18.83,44.3,42.97,0.86,3.64,Non-Veg,processed,0.141,0.6758,0.1832,0.7604,2.0,1
plum chutney (aloo bukhara ki chutney),177.11,0.47,44.95,0.29,1.37,43.9,216.81,12.38,0.34,6.0,Non-Veg,processed,0.0103,0.9834,0.0063,1.2051,1.0,1
cabbage kheer (pattagobhi ki kheer),83.51,2.87,9.73,3.8,0.51,9.28,22.67,102.74,0.24,17.36,Veg,processed,0.175,0.5933,0.2317,0.7359,0.0,3
vanilla ice cream with egg,214.85,4.16,11.71,17.02,0.0,11.69,37.72,77.42,0.34,2.13,Non-Veg,processed,0.1265,0.356,0.5175,0.243,2.0,1
gingerman biscuit,357.43,6.26,55.24,12.73,2.0,21.64,918.57,41.35,1.59,3.65,Dessert,processed,0.0843,0.7442,0.1715,0.4879,3.0,0
chicken 65,300.0,28.0,9.0,20.0,1.0,4.0,920.0,38.0,24.0,12.0,Non-Veg,sheet1,0.4912,0.1579,0.3509,1.393,2.0,1
